title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
'Til There Was You (1997),2.3333333333333335,6,Apollo 13 (1995),Star Wars (1977),Raiders of the Lost Ark (1981),Top Gun (1986)
1-900 (1994),2.5,2,Psycho (1960),Apocalypse Now (1979),Babe (1995),Brazil (1985)
101 Dalmatians (1996),2.925925925925926,54,Babe (1995),Heat (1995),Get Shorty (1995),Monty Python and the Holy Grail (1974)
12 Angry Men (1957),4.333333333333333,66,Mars Attacks! (1996),When Harry Met Sally... (1989),Eraser (1996),Die Hard (1988)
187 (1997),2.9,20,Unforgiven (1992),"Terminator, The (1984)",Indiana Jones and the Last Crusade (1989),Field of Dreams (1989)
2 Days in the Valley (1996),3.275,40,Murder at 1600 (1997),Volcano (1997),Dante's Peak (1997),Twister (1996)
"20,000 Leagues Under the Sea (1954)",3.4838709677419355,31,"Truth About Cats & Dogs, The (1996)",Murder at 1600 (1997),"People vs. Larry Flynt, The (1996)",Starship Troopers (1997)
2001: A Space Odyssey (1968),4.067669172932331,133,"Godfather, The (1972)",GoodFellas (1990),"People vs. Larry Flynt, The (1996)",Boogie Nights (1997)
3 Ninjas: High Noon At Mega Mountain (1998),1.0,4,-,-,-,-
"39 Steps, The (1935)",4.03125,32,Star Trek: First Contact (1996),Chasing Amy (1997),Dead Poets Society (1989),"Devil's Own, The (1997)"
8 1/2 (1963),4.0,19,Star Trek: First Contact (1996),Speed (1994),Sleepless in Seattle (1993),Star Trek IV: The Voyage Home (1986)
8 Seconds (1994),3.75,4,"Fugitive, The (1993)",When Harry Met Sally... (1989),Twister (1996),Top Gun (1986)
A Chef in Love (1996),4.0,2,-,-,-,-
Above the Rim (1994),3.0,4,Top Gun (1986),Batman (1989),Conspiracy Theory (1997),"Hunt for Red October, The (1990)"
Absolute Power (1997),3.3142857142857145,70,"Devil's Own, The (1997)",Air Force One (1997),Murder at 1600 (1997),Braveheart (1995)
"Abyss, The (1989)",3.6470588235294117,85,"Time to Kill, A (1996)","Hunt for Red October, The (1990)",Speed (1994),Back to the Future (1985)
Ace Ventura: Pet Detective (1994),3.1481481481481484,54,Mission: Impossible (1996),In & Out (1997),Jurassic Park (1993),This Is Spinal Tap (1984)
Ace Ventura: When Nature Calls (1995),2.4444444444444446,27,Beauty and the Beast (1991),Rear Window (1954),Evita (1996),Amadeus (1984)
Across the Sea of Time (1995),3.0,1,-,-,-,-
Addams Family Values (1993),2.7777777777777777,45,Psycho (1960),"Saint, The (1997)","Fifth Element, The (1997)",Evita (1996)
Addicted to Love (1997),3.1818181818181817,22,"Blues Brothers, The (1980)",Dante's Peak (1997),Starship Troopers (1997),"Game, The (1997)"
"Addiction, The (1995)",2.0,7,Mighty Aphrodite (1995),"Full Monty, The (1997)",Chasing Amy (1997),"Princess Bride, The (1987)"
"Adventures of Pinocchio, The (1996)",2.75,20,Butch Cassidy and the Sundance Kid (1969),Four Weddings and a Funeral (1994),"Sting, The (1973)",Liar Liar (1997)
